Br,Btheta
4.1359030627651384e-25,-1.3173926628318144e-12
1.8873391679110503e-13,-1.3070046391489357e-12
3.7449139287012156e-13,-1.276004392753924e-12
5.543429274050911e-13,-1.2248808140358022e-12
7.254521590767154e-13,-1.1544401491345744e-12
8.85120596867511e-13,-1.0657932851890625e-12
1.03083017667304e-12,-9.60338231228722e-13
1.1602829724821572e-12,-8.397380710568883e-13
1.2714374360118357e-12,-7.05894735763977e-13
1.3625405931231495e-12,-5.609190094813542e-13
1.4321556894229592e-12,-4.070972413779337e-13
1.4791848489149722e-12,-2.4685528887420254e-13
1.5028863884544398e-12,-8.272026063452607e-14
1.5028865148377583e-12,8.27193372633623e-14
1.4791852201227952e-12,2.4685442352194556e-13
1.432156282130159e-12,4.0709648842123767e-13
1.3625413700912687e-12,5.609184162251096e-13
1.27143834841994e-12,7.058943394870668e-13
1.1602839630003528e-12,8.397378966611604e-13
1.0308311830585515e-12,9.603382896688948e-13
8.851215558903485e-13,1.0657935727948305e-12
7.254530104765856e-13,1.1544406478360538e-12
5.54343617684782e-13,1.2248814924949242e-12
3.744918786601849e-13,1.276005208347026e-12
1.8873416756378405e-13,1.3070055406209512e-12
-3.515305750302736e-24,1.3173935935414218e-12
-1.887341675621834e-13,1.307005540623337e-12
-3.7449187866262077e-13,1.2760052083475424e-12
-5.543436176886933e-13,1.2248814924992496e-12
-7.254530104770118e-13,1.1544406478360566e-12
-8.851215558948595e-13,1.0657935727946657e-12
-1.0308311830599972e-12,9.603382896705794e-13
-1.160283963001723e-12,8.397378966584912e-13
-1.2714383484196677e-12,7.058943394869177e-13
-1.3625413700955615e-12,5.609184162240382e-13
-1.4321562821294664e-12,4.070964884192006e-13
-1.4791852201248767e-12,2.468544235191051e-13
-1.5028865148399066e-12,8.27193372595644e-14
-1.502886388453391e-12,-8.272026063141323e-14
-1.4791848489182765e-12,-2.4685528887264133e-13
-1.4321556894231212e-12,-4.0709724137498425e-13
-1.362540593124956e-12,-5.609190094800515e-13
-1.2714374360151834e-12,-7.058947357647554e-13
-1.1602829724852888e-12,-8.397380710563047e-13
-1.0308301766750212e-12,-9.603382312296173e-13
-8.851205968685586e-13,-1.065793285189185e-12
-7.254521590779782e-13,-1.1544401491371403e-12
-5.543429274079937e-13,-1.2248808140338295e-12
-3.7449139287128145e-13,-1.276004392759594e-12
-1.8873391679212944e-13,-1.3070046391524191e-12
-2.0721885893418024e-25,-1.317392662831194e-12
1.887339167908792e-13,-1.3070046391492324e-12
3.744913928696593e-13,-1.2760043927542825e-12
5.543429274052164e-13,-1.2248808140362473e-12
7.254521590757083e-13,-1.1544401491351701e-12
8.851205968672501e-13,-1.0657932851891958e-12
1.0308301766729076e-12,-9.603382312293372e-13
1.160282972482127e-12,-8.397380710575596e-13
1.2714374360124247e-12,-7.058947357654809e-13
1.3625405931229681e-12,-5.609190094822191e-13
1.4321556894219788e-12,-4.070972413787556e-13
1.4791848489141388e-12,-2.4685528887431846e-13
1.5028863884539351e-12,-8.272026063476137e-14
1.5028865148371553e-12,8.271933726279605e-14
1.4791852201230145e-12,2.4685442352038233e-13
1.4321562821292808e-12,4.0709648842059986e-13
1.3625413700911212e-12,5.609184162242807e-13
1.2714383484187073e-12,7.058943394854454e-13
1.1602839630006834e-12,8.397378966594867e-13
1.0308311830592286e-12,9.60338289667606e-13
8.851215558907023e-13,1.0657935727940758e-12
7.254530104758904e-13,1.1544406478350208e-12
5.543436176856625e-13,1.2248814924936187e-12
3.7449187866072544e-13,1.276005208346052e-12
1.8873416756428135e-13,1.3070055406196355e-12
-2.0681935326597012e-24,1.317393593540181e-12
-1.8873416756199608e-13,1.3070055406230145e-12
-3.7449187866295576e-13,1.2760052083465426e-12
-5.543436176885867e-13,1.2248814924987031e-12
-7.254530104759642e-13,1.1544406478351472e-12
-8.851215558950466e-13,1.0657935727934213e-12
-1.0308311830591099e-12,9.603382896694501e-13
-1.160283963001382e-12,8.397378966577592e-13
-1.27143834841868e-12,7.058943394861391e-13
-1.3625413700952038e-12,5.609184162234437e-13
-1.4321562821290399e-12,4.0709648841838095e-13
-1.4791852201248216e-12,2.468544235185232e-13
-1.5028865148395958e-12,8.271933725898874e-14
-1.5028863884523818e-12,-8.272026063188342e-14
-1.4791848489172437e-12,-2.4685528887259225e-13
-1.4321556894221334e-12,-4.0709724137528773e-13
-1.3625405931241639e-12,-5.609190094805278e-13
-1.2714374360153645e-12,-7.058947357648551e-13
-1.1602829724845517e-12,-8.397380710564143e-13
-1.0308301766741379e-12,-9.603382312296013e-13
-8.85120596867873e-13,-1.065793285189288e-12
-7.254521590769513e-13,-1.1544401491369832e-12
-5.543429274081579e-13,-1.2248808140340715e-12
-3.744913928706533e-13,-1.2760043927596186e-12
-1.887339167919034e-13,-1.3070046391527156e-12
