Br,Btheta
6.203854594147708e-25,7.467960400331208e-13
-1.0715522327540612e-13,7.40907249494281e-13
-2.1262049885896187e-13,7.233337526906506e-13
-3.147325334211747e-13,6.943527090520827e-13
-4.1188092181828995e-13,6.544211907362013e-13
-5.025335464996597e-13,6.041689728169613e-13
-5.852607417553302e-13,5.443885993923151e-13
-6.587578416415164e-13,4.760228824141705e-13
-7.218657558922679e-13,4.0015003044985486e-13
-7.735892492532665e-13,3.179666421919593e-13
-8.131126360824147e-13,2.307688329270751e-13
-8.39812642616272e-13,1.399317918994962e-13
-8.532682342644066e-13,4.6888093010220986e-14
-8.532672530423785e-13,-4.689489896427294e-14
-8.398097605926383e-13,-1.3993817021130499e-13
-8.131080343514454e-13,-2.3077438282281284e-13
-7.735832169548396e-13,-3.1797101494974424e-13
-7.218586720574154e-13,-4.0015295131746607e-13
-6.58750151377757e-13,-4.76024167852286e-13
-5.852529282700983e-13,-5.443881686431656e-13
-5.025261007392738e-13,-6.041668529415152e-13
-4.1187431162750975e-13,-6.544175149344277e-13
-3.147271741468204e-13,-6.943477082879585e-13
-2.126167272395389e-13,-7.233277411753835e-13
-1.0715327629855054e-13,-7.40900604963136e-13
-2.2748667773803123e-24,-7.467891799821438e-13
1.0715327629911257e-13,-7.409006049607886e-13
2.1261672724048251e-13,-7.23327741179463e-13
3.1472717414359877e-13,-6.943477082882914e-13
4.118743116296047e-13,-6.544175149362467e-13
5.025261007358026e-13,-6.041668529408222e-13
5.852529282679129e-13,-5.443881686441909e-13
6.587501513771792e-13,-4.760241678552137e-13
7.218586720571884e-13,-4.0015295131616174e-13
7.735832169529727e-13,-3.179710149502742e-13
8.131080343501096e-13,-2.3077438281928616e-13
8.398097605893039e-13,-1.3993817021176714e-13
8.532672530387852e-13,-4.689489896515406e-14
8.532682342666481e-13,4.688809301055264e-14
8.398126426131244e-13,1.3993179190038105e-13
8.131126360830845e-13,2.307688329289679e-13
7.735892492520191e-13,3.179666421900656e-13
7.218657558880326e-13,4.001500304504762e-13
6.587578416444608e-13,4.760228824115562e-13
5.852607417536559e-13,5.443885993912073e-13
5.025335464979833e-13,6.04168972815764e-13
4.1188092181775393e-13,6.54421190737665e-13
3.147325334172958e-13,6.94352709051448e-13
2.1262049885847825e-13,7.233337526878796e-13
1.0715522327363323e-13,7.409072494928225e-13
-8.269404246276946e-25,7.467960400327072e-13
-1.071552232779607e-13,7.409072494931984e-13
-2.126204988607835e-13,7.233337526902554e-13
-3.1473253342247347e-13,6.943527090510673e-13
-4.118809218202508e-13,6.54421190735424e-13
-5.025335465013656e-13,6.041689728155588e-13
-5.852607417565358e-13,5.443885993912358e-13
-6.587578416429472e-13,4.760228824121012e-13
-7.218657558936038e-13,4.0015003044763954e-13
-7.735892492547069e-13,3.179666421896896e-13
-8.131126360841164e-13,2.3076883292473314e-13
-8.398126426173758e-13,1.3993179189718895e-13
-8.532682342659362e-13,4.6888093007685827e-14
-8.532672530431496e-13,-4.68948989666992e-14
-8.398097605939464e-13,-1.3993817021426562e-13
-8.131080343523133e-13,-2.307743828254885e-13
-7.735832169549035e-13,-3.179710149532134e-13
-7.218586720590557e-13,-4.0015295132049187e-13
-6.587501513779224e-13,-4.760241678553344e-13
-5.852529282710114e-13,-5.44388168646196e-13
-5.02526100740282e-13,-6.041668529451044e-13
-4.1187431162748834e-13,-6.54417514937838e-13
-3.1472717414743846e-13,-6.943477082913396e-13
-2.1261672723934272e-13,-7.233277411785893e-13
-1.071532762989815e-13,-7.409006049661677e-13
-2.067814348435733e-24,-7.467891799858661e-13
1.0715327629971064e-13,-7.409006049644523e-13
2.1261672724091453e-13,-7.233277411826442e-13
3.1472717414512615e-13,-6.943477082913198e-13
4.118743116301379e-13,-6.544175149391592e-13
5.025261007364176e-13,-6.041668529442834e-13
5.852529282680388e-13,-5.443881686472435e-13
6.587501513779498e-13,-4.760241678584331e-13
7.218586720587471e-13,-4.0015295131890677e-13
7.735832169545306e-13,-3.1797101495322225e-13
8.131080343510988e-13,-2.30774382821795e-13
8.398097605906885e-13,-1.3993817021398653e-13
8.532672530400372e-13,-4.6894898967747956e-14
8.532682342681777e-13,4.688809300801726e-14
8.398126426151567e-13,1.3993179189857328e-13
8.131126360847107e-13,2.307688329270811e-13
7.735892492538895e-13,3.1796664218904787e-13
7.218657558893912e-13,4.0015003044886334e-13
6.587578416465631e-13,4.760228824104883e-13
5.852607417556109e-13,5.44388599390202e-13
5.025335465001049e-13,6.041689728152572e-13
4.1188092181934175e-13,6.544211907364712e-13
3.1473253341901767e-13,6.943527090512503e-13
2.1262049886021051e-13,7.233337526873688e-13
1.071552232756905e-13,7.409072494930557e-13
