Br,Btheta
1.9999940000112495e-09,-2.9999925000141782e-12
1.9966115839755332e-09,5.981315219022331e-11
1.985343017486355e-09,1.224254668435734e-10
1.966226196584966e-09,1.845890465952611e-10
1.939330191673751e-09,2.4605721340913753e-10
1.9047550758541116e-09,3.0658551025562143e-10
1.8626316262911757e-09,3.6593269484472916e-10
1.8131208982464163e-09,4.2386172855409705e-10
1.7564136720145646e-09,4.801407560836096e-10
1.6927297736191166e-09,5.345440712859699e-10
1.6223172707572033e-09,5.86853064568551e-10
1.545451546134958e-09,6.368571472382776e-10
1.4624342509938161e-09,6.843546481698139e-10
1.3735921422910112e-09,7.291536782194178e-10
1.279275807658389e-09,7.710729578835585e-10
1.179858282916481e-09,8.099426038133328e-10
1.0757335675598184e-09,8.456048699431771e-10
9.673150442485141e-10,8.779148391750806e-10
8.550338089342322e-10,9.067410617767962e-10
7.39336918809922e-10,9.319661369032945e-10
6.206855657963786e-10,9.534872339333524e-10
4.995531837593976e-10,9.71216550625672e-10
3.7642349808395663e-10,9.850817054389005e-10
2.5178852661186644e-10,9.950260617245136e-10
1.261465412725993e-10,1.0010089818876432e-09
-3.2259133649338925e-25,1.003006010015021e-09
-1.261465412725995e-10,1.0010089818876432e-09
-2.517885266118666e-10,9.950260617245136e-10
-3.764234980839575e-10,9.85081705438901e-10
-4.995531837593978e-10,9.712165506256722e-10
-6.20685565796379e-10,9.534872339333524e-10
-7.39336918809922e-10,9.319661369032947e-10
-8.550338089342326e-10,9.067410617767961e-10
-9.673150442485154e-10,8.779148391750801e-10
-1.0757335675598184e-09,8.456048699431771e-10
-1.179858282916481e-09,8.099426038133328e-10
-1.2792758076583893e-09,7.710729578835581e-10
-1.373592142291011e-09,7.291536782194175e-10
-1.4624342509938163e-09,6.843546481698142e-10
-1.5454515461349592e-09,6.368571472382781e-10
-1.6223172707572025e-09,5.868530645685517e-10
-1.6927297736191172e-09,5.345440712859693e-10
-1.7564136720145646e-09,4.801407560836098e-10
-1.8131208982464163e-09,4.238617285540965e-10
-1.8626316262911747e-09,3.6593269484472885e-10
-1.9047550758541116e-09,3.065855102556214e-10
-1.939330191673751e-09,2.460572134091375e-10
-1.966226196584966e-09,1.8458904659526138e-10
-1.9853430174863548e-09,1.2242546684357338e-10
-1.9966115839755332e-09,5.981315219022359e-11
-1.9999940000112495e-09,-2.9999925000124326e-12
-1.9954835895302014e-09,-6.576582592821532e-11
-1.9831048174859014e-09,-1.2823695289645325e-10
-1.9629130882844676e-09,-1.9016769507808952e-10
-1.93499442406552e-09,-2.513150463031966e-10
-1.8994650257141566e-09,-3.114396088366045e-10
-1.8564707198912131e-09,-3.7030650733282415e-10
-1.8061862957332508e-09,-4.276862773652959e-10
-1.748814735201092e-09,-4.833557256441597e-10
-1.6845863413467457e-09,-5.370987592547016e-10
-1.613757769024271e-09,-5.887071814651212e-10
-1.5366109627918612e-09,-6.379814518653239e-10
-1.453452006941992e-09,-6.847314088059749e-10
-1.3646098927558552e-09,-7.287769523072858e-10
-1.270435208209833e-09,-7.69948685798703e-10
-1.1712987554679282e-09,-8.080885152323701e-10
-1.0675901015774715e-09,-8.430502042842933e-10
-9.597160678488322e-10,-8.746998845168123e-10
-8.480991634459727e-10,-9.029165195239456e-10
-7.331759687462639e-10,-9.275923222175289e-10
-6.153954740476739e-10,-9.486331245367692e-10
-4.952173792117959e-10,-9.659586989776658e-10
-3.731103598345044e-10,-9.795030314421574e-10
-2.4955030553467605e-10,-9.892145450008845e-10
-1.2501853594707787e-10,-9.950562742492245e-10
-3.6629405832077464e-25,-9.97005990014979e-10
1.2501853594707893e-10,-9.950562742492245e-10
2.495503055346745e-10,-9.89214545000885e-10
3.731103598345028e-10,-9.79503031442158e-10
4.95217379211797e-10,-9.659586989776656e-10
6.153954740476733e-10,-9.486331245367692e-10
7.331759687462627e-10,-9.275923222175296e-10
8.480991634459714e-10,-9.029165195239465e-10
9.597160678488332e-10,-8.746998845168118e-10
1.0675901015774703e-09,-8.430502042842947e-10
1.171298755467929e-09,-8.080885152323698e-10
1.2704352082098316e-09,-7.699486857987042e-10
1.3646098927558536e-09,-7.287769523072875e-10
1.4534520069419931e-09,-6.847314088059753e-10
1.5366109627918614e-09,-6.379814518653249e-10
1.6137577690242714e-09,-5.887071814651211e-10
1.6845863413467453e-09,-5.370987592547035e-10
1.7488147352010911e-09,-4.833557256441607e-10
1.806186295733251e-09,-4.2768627736529556e-10
1.856470719891213e-09,-3.703065073328258e-10
1.8994650257141562e-09,-3.1143960883660607e-10
1.934994424065519e-09,-2.5131504630319883e-10
1.962913088284467e-09,-1.9016769507809076e-10
1.9831048174859e-09,-1.2823695289645555e-10
1.9954835895302014e-09,-6.576582592821656e-11
