Br,Btheta
1.1008951111858132e-10,3.733980200158366e-13
1.0981905039253706e-10,7.281287272141639e-12
1.0911651183112289e-10,1.4156159544626307e-11
1.0798525445472646e-10,2.097108251958573e-11
1.0643028613411299e-10,2.769942100853088e-11
1.04458236444186e-10,3.431493621873351e-11
1.0207732432960869e-10,4.0791882790227045e-11
9.929732075046633e-11,4.7105103378142305e-11
9.612950646356813e-11,5.3230120563824133e-11
9.258662508393891e-11,5.914322588375255e-11
8.868283156268669e-11,6.48215657678454e-11
8.443363621255875e-11,7.024322417930432e-11
7.985584441110108e-11,7.53873017467819e-11
7.496749211458697e-11,8.023399117759957e-11
6.978777732312041e-11,8.476464873828875e-11
6.433698764896245e-11,8.896186158684768e-11
5.86364241558532e-11,9.280951074040258e-11
5.27083216560692e-11,9.629282946302021e-11
4.657576567420193e-11,9.939845686195991e-11
4.0262606310657156e-11,1.0211448648678844e-10
3.37933692635536e-11,1.0443050973531597e-10
2.7193164293359416e-11,1.0633765388284083e-10
2.0487591440072232e-11,1.0782861456732711e-10
1.3702645326405867e-11,1.0889768258242738e-10
6.86461790175658e-12,1.0954076485245986e-10
-1.8435063638601213e-24,1.0975539948859054e-10
-6.8646179017574586e-12,1.095407648524622e-10
-1.3702645326405945e-11,1.0889768258242499e-10
-2.048759144007362e-11,1.0782861456732739e-10
-2.7193164293359145e-11,1.0633765388283853e-10
-3.3793369263557056e-11,1.0443050973531601e-10
-4.0262606310659993e-11,1.0211448648678713e-10
-4.657576567420176e-11,9.939845686195733e-11
-5.2708321656072104e-11,9.629282946301853e-11
-5.863642415585258e-11,9.280951074040076e-11
-6.433698764896365e-11,8.89618615868478e-11
-6.978777732312226e-11,8.476464873828735e-11
-7.496749211458852e-11,8.023399117759821e-11
-7.985584441110075e-11,7.538730174678098e-11
-8.443363621256089e-11,7.024322417930403e-11
-8.868283156268702e-11,6.482156576784655e-11
-9.258662508393873e-11,5.914322588375034e-11
-9.612950646357045e-11,5.323012056382368e-11
-9.929732075046413e-11,4.710510337813913e-11
-1.0207732432961035e-10,4.079188279022497e-11
-1.0445823644418801e-10,3.4314936218731255e-11
-1.0643028613411158e-10,2.769942100853017e-11
-1.0798525445472769e-10,2.0971082519584765e-11
-1.0911651183112363e-10,1.4156159544624042e-11
-1.0981905039253797e-10,7.281287272139949e-12
-1.1008951111858132e-10,3.733980200172162e-13
-1.0992620561581374e-10,-6.540380022648005e-12
-1.093291323299827e-10,-1.3432825791935757e-11
-1.0829998698814816e-10,-2.0276729810534267e-11
-1.0684216705593227e-10,-2.704499981779494e-11
-1.0496076999068667e-10,-3.3710767245917277e-11
-1.0266258507136459e-10,-4.0247494190835257e-11
-9.99560785921087e-11,-4.662908049572922e-11
-9.685137221946131e-11,-5.2829970533375296e-11
-9.336021433319284e-11,-5.882525924156163e-11
-8.94959441987698e-11,-6.45907969349196e-11
-8.527344885517547e-11,-7.010329238740565e-11
-8.070911264536636e-11,-7.53404136537732e-11
-7.582075936763e-11,-8.028088607656503e-11
-7.062758708371378e-11,-8.490458690850145e-11
-6.515009568331393e-11,-8.91926359696721e-11
-5.941000737280813e-11,-9.312748175535406e-11
-5.3430180328127754e-11,-9.669298241433903e-11
-4.723451582557973e-11,-9.987448102981389e-11
-4.084785923892795e-11,-1.0265887465543321e-10
-3.4295895364293304e-11,-1.0503467658825948e-10
-2.7605038604987377e-11,-1.0699207139777696e-10
-2.0802318614219748e-11,-1.0852296227561688e-10
-1.391526205364546e-11,-1.0962101032360442e-10
-6.97177117805525e-12,-1.1028166545742456e-10
-1.8649623039049492e-25,-1.1050218866857455e-10
6.971771178057038e-12,-1.102816654574249e-10
1.3915262053646455e-11,-1.0962101032360603e-10
2.0802318614218113e-11,-1.0852296227561744e-10
2.7605038604988982e-11,-1.0699207139777633e-10
3.429589536429311e-11,-1.0503467658825885e-10
4.0847859238927784e-11,-1.0265887465543297e-10
4.7234515825579446e-11,-9.987448102981391e-11
5.343018032812967e-11,-9.669298241433612e-11
5.941000737280647e-11,-9.312748175535257e-11
6.51500956833142e-11,-8.919263596966853e-11
7.062758708371214e-11,-8.490458690850018e-11
7.582075936762793e-11,-8.02808860765645e-11
8.070911264536818e-11,-7.534041365377191e-11
8.527344885517483e-11,-7.010329238740447e-11
8.949594419877096e-11,-6.459079693491854e-11
9.336021433319164e-11,-5.88252592415606e-11
9.685137221945922e-11,-5.282997053337386e-11
9.995607859211e-11,-4.6629080495728194e-11
1.0266258507136485e-10,-4.024749419083431e-11
1.0496076999068726e-10,-3.371076724591598e-11
1.0684216705593021e-10,-2.704499981779328e-11
1.0829998698814575e-10,-2.0276729810533476e-11
1.0932913232998281e-10,-1.3432825791936732e-11
1.0992620561581264e-10,-6.540380022646944e-12
