Br,Btheta
-9.995500937346897e-07,-2.999250131230345e-08
-1.0013446930593222e-06,3.293129844630279e-08
-9.99160491857315e-07,9.607988824848522e-08
-9.929615410498947e-07,1.5919894679393013e-07
-9.827285293396233e-07,2.2202864877056742e-07
-9.684595744115138e-07,2.8430479765562844e-07
-9.501709329573024e-07,3.457600681361787e-07
-9.278976144869596e-07,4.06125352208932e-07
-9.016938842637328e-07,4.6513120093052255e-07
-8.716336413707124e-07,5.225093516998714e-07
-8.378106588966408e-07,5.779943289088202e-07
-8.003386745175212e-07,6.313251038436459e-07
-7.593513213421092e-07,6.822467979074938e-07
-7.150018907684966e-07,7.30512411611865e-07
-6.674629212423106e-07,7.758845604020109e-07
-6.169256091822981e-07,8.181371972816534e-07
-5.635990409059887e-07,8.570573014276219e-07
-5.077092470989349e-07,8.924465115689819e-07
-4.494980841712114e-07,9.241226828752703e-07
-3.892219496748364e-07,9.519213464722455e-07
-3.271503417524907e-07,9.756970514891732e-07
-2.635642752860904e-07,9.953245707364149e-07
-1.9875456994855406e-07,1.0106999527021128e-06
-1.3302002767096728e-07,1.0217414045169376e-06
-6.666551906150401e-08,1.0283899928307181e-06
7.336947936501765e-22,1.0306101521283646e-06
6.666551906150526e-08,1.0283899928307181e-06
1.330200276709685e-07,1.0217414045169374e-06
1.987545699485555e-07,1.0106999527021125e-06
2.6356427528609163e-07,9.953245707364147e-07
3.271503417524919e-07,9.756970514891728e-07
3.8922194967483757e-07,9.519213464722449e-07
4.4949808417121244e-07,9.241226828752697e-07
5.077092470989362e-07,8.924465115689811e-07
5.635990409059899e-07,8.570573014276211e-07
6.169256091822991e-07,8.181371972816527e-07
6.674629212423116e-07,7.758845604020103e-07
7.150018907684974e-07,7.305124116118642e-07
7.5935132134211e-07,6.822467979074927e-07
8.003386745175222e-07,6.313251038436448e-07
8.378106588966414e-07,5.779943289088193e-07
8.71633641370713e-07,5.225093516998704e-07
9.016938842637334e-07,4.6513120093052143e-07
9.278976144869614e-07,4.061253522089283e-07
9.501709329573039e-07,3.4576006813617487e-07
9.684595744115142e-07,2.8430479765562707e-07
9.827285293396238e-07,2.2202864877056642e-07
9.92961541049895e-07,1.59198946793929e-07
9.99160491857315e-07,9.607988824848393e-08
1.0013446930593222e-06,3.293129844630145e-08
9.995500937346897e-07,-2.999250131230488e-08
9.938284234887581e-07,-9.244371302659409e-08
9.84246284090572e-07,-1.5418196584383683e-07
9.70884204528941e-07,-2.149751043990614e-07
9.5383567338239e-07,-2.745998632969686e-07
9.332061615816046e-07,-3.328424309491201e-07
9.091121476728103e-07,-3.8949890736886537e-07
8.816801565970161e-07,-4.4437566173269774e-07
8.510458218131692e-07,-4.972895965344402e-07
8.173529793415097e-07,-5.48068325987258e-07
7.807528010135282e-07,-5.96550276970733e-07
7.414029729111598e-07,-6.425847212825258e-07
6.994669236821269e-07,-6.860317482452594e-07
6.551131061494631e-07,-7.2676218685036e-07
6.085143344075201e-07,-7.646574866039018e-07
5.598471774275433e-07,-7.996095660885223e-07
5.092914090937714e-07,-8.315206379840789e-07
4.5702951356445925e-07,-8.603030189115581e-07
4.0324624390699636e-07,-8.858789319935946e-07
3.4812823109666925e-07,-9.081803094734711e-07
2.9186363969684367e-07,-9.271486021149571e-07
2.3464186585564762e-07,-9.427346014286316e-07
1.7665327266049943e-07,-9.548982800467544e-07
1.1808895738653173e-07,-9.636086548069694e-07
5.914054475681961e-08,-9.688436763132819e-07
-3.5658903538306373e-22,-9.705901479276445e-07
-5.914054475682375e-08,-9.688436763132817e-07
-1.1808895738653583e-07,-9.63608654806969e-07
-1.76653272660501e-07,-9.54898280046754e-07
-2.3464186585564913e-07,-9.427346014286312e-07
-2.9186363969684436e-07,-9.271486021149569e-07
-3.481282310966707e-07,-9.081803094734704e-07
-4.0324624390699774e-07,-8.85878931993594e-07
-4.5702951356446063e-07,-8.603030189115574e-07
-5.092914090937727e-07,-8.31520637984078e-07
-5.598471774275447e-07,-7.996095660885213e-07
-6.085143344075215e-07,-7.646574866039007e-07
-6.551131061494639e-07,-7.267621868503593e-07
-6.994669236821279e-07,-6.860317482452582e-07
-7.414029729111608e-07,-6.425847212825248e-07
-7.807528010135294e-07,-5.965502769707314e-07
-8.173529793415106e-07,-5.480683259872567e-07
-8.510458218131698e-07,-4.972895965344393e-07
-8.816801565970167e-07,-4.443756617326963e-07
-9.091121476728109e-07,-3.894989073688639e-07
-9.332061615816051e-07,-3.3284243094911813e-07
-9.538356733823905e-07,-2.74599863296967e-07
-9.708842045289411e-07,-2.1497510439906026e-07
-9.84246284090572e-07,-1.5418196584383524e-07
-9.938284234887583e-07,-9.244371302659291e-08
