Br,Btheta
5.013421130433567e-06,-1.5467535717118948e-06
4.359873985939625e-06,-2.1896225642034093e-06
3.682217284629388e-06,-2.6497062189959825e-06
3.018706596686459e-06,-2.9649842882165344e-06
2.388947241264048e-06,-3.171786044862448e-06
1.7992565261175584e-06,-3.301023511918698e-06
1.2472019835259346e-06,-3.3768661452659003e-06
7.249770528880059e-07,-3.4167105319101314e-06
2.2172279029813097e-07,-3.431659793785192e-06
-2.749245778915245e-07,-3.427043996512481e-06
-7.777433013979786e-07,-3.402735752227183e-06
-1.2989835314721788e-06,-3.3531601867828585e-06
-1.849270627906805e-06,-3.2670024344915603e-06
-2.4360471077108685e-06,-3.1267199511283824e-06
-3.061241499546631e-06,-2.908112043112067e-06
-3.7178941684274527e-06,-2.580421073766167e-06
-4.3856480066947735e-06,-2.1077527610258434e-06
-5.025466484191935e-06,-1.4529546662575207e-06
-5.574830856894846e-06,-5.852843389522704e-07
-5.946029213274865e-06,5.072012803261654e-07
-6.031595358636249e-06,1.8012393060102144e-06
-5.721293761253422e-06,3.22197258837905e-06
-4.932314136537721e-06,4.634935407230349e-06
-3.6471444897803284e-06,5.857094622544013e-06
-1.943996914000908e-06,6.693283634916398e-06
3.7050873052661625e-21,6.991281382217884e-06
1.9439969140009355e-06,6.693283634916392e-06
3.647144489780335e-06,5.857094622544011e-06
4.932314136537725e-06,4.634935407230339e-06
5.721293761253427e-06,3.221972588379045e-06
6.031595358636251e-06,1.8012393060102075e-06
5.946029213274867e-06,5.072012803261577e-07
5.574830856894847e-06,-5.852843389522754e-07
5.0254664841919304e-06,-1.452954666257527e-06
4.3856480066947685e-06,-2.1077527610258477e-06
3.7178941684274506e-06,-2.5804210737661697e-06
3.061241499546629e-06,-2.90811204311207e-06
2.4360471077108605e-06,-3.126719951128382e-06
1.8492706279067997e-06,-3.2670024344915607e-06
1.2989835314721735e-06,-3.3531601867828585e-06
7.777433013979767e-07,-3.4027357522271833e-06
2.7492457789151876e-07,-3.4270439965124836e-06
-2.217227902981369e-07,-3.4316597937851875e-06
-7.249770528880095e-07,-3.4167105319101285e-06
-1.2472019835259405e-06,-3.3768661452658978e-06
-1.7992565261175643e-06,-3.3010235119186946e-06
-2.3889472412640543e-06,-3.1717860448624465e-06
-3.018706596686463e-06,-2.964984288216529e-06
-3.682217284629391e-06,-2.6497062189959766e-06
-4.35987398593963e-06,-2.1896225642034017e-06
-5.013421130433572e-06,-1.5467535717118854e-06
-5.580990283300568e-06,-6.890346208998487e-07
-5.975129739772864e-06,3.973332149290554e-07
-6.087898166102351e-06,1.691366623642386e-06
-5.8075020344938366e-06,3.1205599591514405e-06
-5.048315024834113e-06,4.552240698632142e-06
-3.7889730859355845e-06,5.803815382213028e-06
-2.103555444250153e-06,6.678558752898864e-06
-1.659283851969626e-07,7.020614149502978e-06
1.7843666156154092e-06,6.767190866232562e-06
3.5053780732745694e-06,5.971085745029194e-06
4.81689782940282e-06,4.7808306014292775e-06
5.636730450123492e-06,3.3899689006066166e-06
5.978659258659281e-06,1.981921050094188e-06
5.922795469994147e-06,6.929194915590632e-07
5.577951094284811e-06,-3.998261559856578e-07
5.0512908830907396e-06,-1.2707536882810202e-06
4.431017098942663e-06,-1.9299267560084055e-06
3.780598881955278e-06,-2.4067571377114033e-06
3.140235203449574e-06,-2.7375990913106794e-06
2.531508298691135e-06,-2.958007027959454e-06
1.962594360217141e-06,-3.0987829238697685e-06
1.4327490121908064e-06,-3.1845125317997516e-06
9.356758019777978e-07,-3.2334640680663508e-06
4.6184394493155336e-07,-3.2580657009459968e-06
-1.3059639419661508e-21,-3.2654867769421143e-06
-4.6184394493156194e-07,-3.2580657009459917e-06
-9.356758019778033e-07,-3.2334640680663482e-06
-1.432749012190813e-06,-3.1845125317997486e-06
-1.9625943602171504e-06,-3.0987829238697663e-06
-2.5315082986911396e-06,-2.958007027959452e-06
-3.140235203449579e-06,-2.7375990913106727e-06
-3.780598881955282e-06,-2.406757137711396e-06
-4.43101709894267e-06,-1.9299267560083962e-06
-5.051290883090744e-06,-1.2707536882810092e-06
-5.577951094284809e-06,-3.998261559856454e-07
-5.922795469994143e-06,6.929194915590768e-07
-5.978659258659277e-06,1.981921050094199e-06
-5.63673045012348e-06,3.3899689006066293e-06
-4.816897829402812e-06,4.78083060142929e-06
-3.5053780732745525e-06,5.971085745029203e-06
-1.7843666156153732e-06,6.7671908662325706e-06
1.6592838519697682e-07,7.020614149502979e-06
2.103555444250189e-06,6.678558752898854e-06
3.7889730859356006e-06,5.8038153822130215e-06
5.048315024834125e-06,4.552240698632126e-06
5.807502034493847e-06,3.1205599591514283e-06
6.087898166102356e-06,1.6913666236423756e-06
5.975129739772869e-06,3.973332149290413e-07
5.58099028330057e-06,-6.890346208998585e-07
