Br,Btheta
2.806880970014887e-07,5.190720065127278e-09
2.7939323463443704e-07,2.2764158023560534e-08
2.7700766549646186e-07,4.0187455031022956e-08
2.73549259111525e-07,5.7393791387243704e-08
2.6903974089537634e-07,7.431810029717218e-08
2.635044853574702e-07,9.089727129993802e-08
2.5697230446166175e-07,1.0707033389298996e-07
2.4947523343906096e-07,1.2277862189716665e-07
2.4104831614081344e-07,1.379659193009662e-07
2.3172939179727292e-07,1.5257858848495396e-07
2.2155888481878607e-07,1.665656818601238e-07
2.1057959903630333e-07,1.7987903805824714e-07
1.9883651754142327e-07,1.9247336388805451e-07
1.8637660904927467e-07,2.0430630332048025e-07
1.7324864147686328e-07,2.1533849479073565e-07
1.5950300320691478e-07,2.25533618106155e-07
1.451915322953729e-07,2.3485843222897088e-07
1.3036735368128874e-07,2.4328280516440756e-07
1.1508472427231496e-07,2.5077973712827565e-07
9.93988856087757e-08,2.5732537809741234e-07
8.336592365495354e-08,2.628990407620149e-07
6.704263512848046e-08,2.674832098033246e-07
5.0486399658080964e-08,2.710635483151057e-07
3.375505695617046e-08,2.7362890207411076e-07
1.6906788106754344e-08,2.751713022449081e-07
-5.909410256709158e-22,2.756859669797214e-07
-1.6906788106754837e-08,2.7517130224490656e-07
-3.375505695616987e-08,2.7362890207411007e-07
-5.0486399658084214e-08,2.710635483151096e-07
-6.704263512848111e-08,2.6748320980332796e-07
-8.336592365495805e-08,2.62899040762016e-07
-9.939888560877993e-08,2.573253780974111e-07
-1.1508472427231754e-07,2.5077973712827184e-07
-1.3036735368129105e-07,2.432828051644032e-07
-1.451915322953723e-07,2.3485843222897148e-07
-1.5950300320691573e-07,2.2553361810615584e-07
-1.732486414768693e-07,2.1533849479073502e-07
-1.8637660904927443e-07,2.0430630332047866e-07
-1.9883651754142284e-07,1.9247336388805168e-07
-2.1057959903630518e-07,1.79879038058251e-07
-2.2155888481878774e-07,1.6656568186012622e-07
-2.3172939179727594e-07,1.5257858848495497e-07
-2.4104831614081667e-07,1.3796591930096524e-07
-2.4947523343906456e-07,1.2277862189716032e-07
-2.5697230446166207e-07,1.0707033389298488e-07
-2.6350448535747296e-07,9.089727129993598e-08
-2.690397408953732e-07,7.43181002971733e-08
-2.7354925911152885e-07,5.739379138724481e-08
-2.770076654964642e-07,4.01874550310193e-08
-2.7939323463443646e-07,2.2764158023558407e-08
-2.8068809700149124e-07,5.19072006512938e-09
-2.808784384434366e-07,-1.246450979694516e-08
-2.799546896955171e-07,-3.013189693043445e-08
-2.7791170317767767e-07,-4.7740784883765306e-08
-2.747489142083488e-07,-6.521977865589647e-08
-2.704704837308676e-07,-8.249704665349338e-08
-2.6508541964478377e-07,-9.95006401853302e-08
-2.5860767388353794e-07,-1.1615882900137285e-07
-2.510562124838213e-07,-1.3240045103798375e-07
-2.4245505605260665e-07,-1.4815527418762508e-07
-2.328332882568467e-07,-1.6335436757968953e-07
-2.2222503023773996e-07,-1.7793047954495294e-07
-2.1066937918510417e-07,-1.9181841914907588e-07
-1.9821030969447473e-07,-2.0495543792758474e-07
-1.8489653696533537e-07,-2.1728160824398713e-07
-1.7078134137741606e-07,-2.287401945314043e-07
-1.5592235449498885e-07,-2.392780135728013e-07
-1.4038130708796482e-07,-2.4884577993079667e-07
-1.2422374031238376e-07,-2.573984326600193e-07
-1.0751868175061636e-07,-2.648954395251484e-07
-9.033828856095972e-08,-2.713010751075796e-07
-7.275746051521244e-08,-2.7658466941282665e-07
-5.485342619841496e-08,-2.8072082388589816e-07
-3.670530609597212e-08,-2.8368959209987325e-07
-1.8393656688048382e-08,-2.854766227967618e-07
-1.2179986149257207e-21,-2.860732634221161e-07
1.839365668804789e-08,-2.8547662279676733e-07
3.670530609597329e-08,-2.836895920998782e-07
5.48534261984154e-08,-2.8072082388589965e-07
7.27574605152147e-08,-2.7658466941282337e-07
9.033828856095872e-08,-2.7130107510757904e-07
1.0751868175061349e-07,-2.64895439525149e-07
1.2422374031238554e-07,-2.5739843266002204e-07
1.403813070879647e-07,-2.488457799307953e-07
1.5592235449498845e-07,-2.392780135727956e-07
1.7078134137741482e-07,-2.2874019453139833e-07
1.8489653696533209e-07,-2.1728160824398708e-07
1.9821030969447367e-07,-2.0495543792759014e-07
2.1066937918510557e-07,-1.9181841914908038e-07
2.2222503023774073e-07,-1.779304795449537e-07
2.3283328825684772e-07,-1.6335436757968733e-07
2.424550560526045e-07,-1.4815527418762217e-07
2.5105621248381897e-07,-1.3240045103798494e-07
2.5860767388353926e-07,-1.1615882900137455e-07
2.6508541964478335e-07,-9.950064018532639e-08
2.704704837308667e-07,-8.249704665349045e-08
2.7474891420834716e-07,-6.521977865588928e-08
2.779117031776743e-07,-4.774078488376404e-08
2.799546896955167e-07,-3.013189693043837e-08
2.808784384434359e-07,-1.2464509796947878e-08
