Br,Btheta
1.999400112482503e-06,-2.999250131230473e-08
2.0011042192225595e-06,3.293129844630195e-08
1.994867529038842e-06,9.607988824848516e-08
1.9806479270191756e-06,1.591989467939297e-07
1.9584360940618563e-06,2.2202864877056647e-07
1.9282566089021197e-06,2.8430479765562754e-07
1.8901688943162973e-06,3.4576006813617773e-07
1.8442679857558976e-06,4.061253522089304e-07
1.7906851014747964e-06,4.6513120093052265e-07
1.7295879944546356e-06,5.225093516998716e-07
1.6611810681136384e-06,5.779943289088202e-07
1.5857052398991415e-06,6.31325103843646e-07
1.503437539400475e-06,6.822467979074934e-07
1.4146904305510038e-06,7.305124116118656e-07
1.31981085077902e-06,7.758845604020104e-07
1.2191789635683453e-06,8.181371972816534e-07
1.1132066247413729e-06,8.570573014276224e-07
1.0023355668105783e-06,8.924465115689816e-07
8.870353098813556e-07,9.241226828752696e-07
7.678008117449976e-07,9.519213464722455e-07
6.451498738867962e-07,9.756970514891728e-07
5.196203240596495e-07,9.953245707364147e-07
3.917669997481303e-07,1.0106999527021123e-06
2.6215856018464067e-07,1.0217414045169378e-06
1.313741574976481e-07,1.028389992830718e-06
-3.3146950572486133e-22,1.0306101521283646e-06
-1.3137415749764828e-07,1.028389992830718e-06
-2.621585601846415e-07,1.0217414045169376e-06
-3.917669997481311e-07,1.0106999527021128e-06
-5.196203240596496e-07,9.953245707364147e-07
-6.451498738867965e-07,9.756970514891728e-07
-7.678008117449977e-07,9.519213464722455e-07
-8.870353098813556e-07,9.241226828752693e-07
-1.002335566810579e-06,8.924465115689814e-07
-1.113206624741374e-06,8.570573014276222e-07
-1.2191789635683455e-06,8.181371972816535e-07
-1.3198108507790209e-06,7.758845604020094e-07
-1.4146904305510045e-06,7.305124116118657e-07
-1.503437539400475e-06,6.822467979074934e-07
-1.585705239899141e-06,6.313251038436449e-07
-1.6611810681136382e-06,5.779943289088211e-07
-1.7295879944546346e-06,5.225093516998721e-07
-1.790685101474797e-06,4.6513120093052196e-07
-1.8442679857558986e-06,4.0612535220893e-07
-1.8901688943162977e-06,3.4576006813617646e-07
-1.9282566089021193e-06,2.8430479765562776e-07
-1.9584360940618563e-06,2.220286487705668e-07
-1.9806479270191756e-06,1.591989467939297e-07
-1.9948675290388415e-06,9.607988824848448e-08
-2.00110421922256e-06,3.293129844630203e-08
-1.999400112482503e-06,-2.9992501312302986e-08
-1.9898288838361785e-06,-9.24437130265936e-08
-1.972494421170985e-06,-1.5418196584383506e-07
-1.9475293882703194e-06,-2.1497510439905968e-07
-1.915093719210563e-06,-2.745998632969681e-07
-1.8753730642682661e-06,-3.3284243094911845e-07
-1.8285772062601683e-06,-3.8949890736886357e-07
-1.7749384648171798e-06,-4.4437566173269604e-07
-1.7147101045085966e-06,-4.972895965344398e-07
-1.648164761025137e-06,-5.480683259872565e-07
-1.5755928978373966e-06,-5.965502769707326e-07
-1.4973013039057717e-06,-6.425847212825247e-07
-1.4136116411617584e-06,-6.860317482452583e-07
-1.3248590486381198e-06,-7.267621868503599e-07
-1.2313908083225113e-06,-7.646574866039011e-07
-1.1335650760681667e-06,-7.996095660885218e-07
-1.0317496792346985e-06,-8.315206379840783e-07
-9.263209811675535e-07,-8.603030189115582e-07
-8.176628111681643e-07,-8.858789319935941e-07
-7.06165457268305e-07,-9.081803094734712e-07
-5.922247179081089e-07,-9.27148602114957e-07
-4.76241007533208e-07,-9.427346014286316e-07
-3.586185101753124e-07,-9.548982800467546e-07
-2.3976437426463777e-07,-9.636086548069694e-07
-1.2008794124264872e-07,-9.688436763132817e-07
-3.5658903538306373e-22,-9.705901479276445e-07
1.2008794124264715e-07,-9.688436763132817e-07
2.397643742646361e-07,-9.636086548069694e-07
3.586185101753108e-07,-9.548982800467548e-07
4.762410075332065e-07,-9.427346014286322e-07
5.922247179081083e-07,-9.271486021149571e-07
7.061654572683061e-07,-9.081803094734715e-07
8.176628111681654e-07,-8.858789319935943e-07
9.263209811675542e-07,-8.603030189115576e-07
1.0317496792346994e-06,-8.315206379840779e-07
1.133565076068167e-06,-7.996095660885218e-07
1.2313908083225108e-06,-7.646574866039025e-07
1.3248590486381183e-06,-7.267621868503617e-07
1.4136116411617582e-06,-6.860317482452588e-07
1.4973013039057715e-06,-6.425847212825248e-07
1.5755928978373985e-06,-5.96550276970732e-07
1.6481647610251369e-06,-5.480683259872574e-07
1.7147101045085947e-06,-4.972895965344418e-07
1.7749384648171807e-06,-4.44375661732697e-07
1.828577206260169e-06,-3.8949890736886415e-07
1.8753730642682665e-06,-3.328424309491187e-07
1.9150937192105638e-06,-2.7459986329696754e-07
1.947529388270319e-06,-2.149751043990609e-07
1.9724944211709856e-06,-1.5418196584383585e-07
1.9898288838361785e-06,-9.244371302659355e-08
