Br,Btheta
0.0,-5.998500262460812e-08
1.1275335386381023e-08,-5.951241458029136e-08
2.237310786785632e-08,-5.8102077595349734e-08
3.311853874885605e-08,-5.577615760513009e-08
4.3342374851293747e-08,-5.2571214526401824e-08
5.288354463385373e-08,-4.85376332934912e-08
6.159168805612904e-08,-4.3738839232686214e-08
6.932952093871759e-08,-3.825030952376535e-08
7.597499696619979e-08,-3.215839560391715e-08
8.142323342949844e-08,-2.555897428738488e-08
8.558817027624175e-08,-1.855594806191255e-08
8.840393599336992e-08,-1.1259617438878974e-08
8.98258982387165e-08,-3.784950337764834e-09
8.983138191288392e-08,3.75022476150581e-09
8.842004245650884e-08,1.1227073798109148e-08
8.561388750017857e-08,1.8527631193131953e-08
8.145694550667451e-08,2.553666344354395e-08
7.60145856430246e-08,3.214349265742374e-08
6.937249871319172e-08,3.824375088167517e-08
6.163535447669263e-08,4.374103699877443e-08
5.292515597868713e-08,4.854844937421602e-08
4.337931652644168e-08,5.258996930778315e-08
3.3148489572817684e-08,5.5801672655358054e-08
2.2394185920003282e-08,5.813274970996837e-08
1.128621625499938e-08,5.9546316517436186e-08
-1.1412988706373559e-21,6.002000420072012e-08
-1.1286216255000905e-08,5.9546316517436285e-08
-2.239418592000574e-08,5.813274970996826e-08
-3.314848957282015e-08,5.5801672655357994e-08
-4.337931652644325e-08,5.258996930778258e-08
-5.29251559786887e-08,4.854844937421531e-08
-6.163535447669137e-08,4.3741036998774174e-08
-6.93724987131905e-08,3.824375088167478e-08
-7.601458564302469e-08,3.2143492657424003e-08
-8.145694550667449e-08,2.5536663443544022e-08
-8.561388750017796e-08,1.8527631193132426e-08
-8.842004245650977e-08,1.1227073798107037e-08
-8.983138191288641e-08,3.750224761503799e-09
-8.982589823871681e-08,-3.784950337765105e-09
-8.840393599336958e-08,-1.1259617438880032e-08
-8.558817027623929e-08,-1.8555948061909996e-08
-8.142323342949768e-08,-2.55589742873849e-08
-7.597499696620243e-08,-3.2158395603920276e-08
-6.93295209387181e-08,-3.825030952376674e-08
-6.159168805612874e-08,-4.373883923268813e-08
-5.2883544633853044e-08,-4.853763329349062e-08
-4.334237485129283e-08,-5.257121452640028e-08
-3.311853874885663e-08,-5.57761576051316e-08
-2.2373107867855742e-08,-5.810207759535099e-08
-1.127533538638142e-08,-5.951241458029201e-08
-1.929264827230912e-23,-5.99850026246086e-08
1.1275335386380995e-08,-5.9512414580291827e-08
2.237310786785626e-08,-5.8102077595350204e-08
3.311853874885596e-08,-5.5776157605130505e-08
4.334237485129363e-08,-5.257121452640225e-08
5.2883544633854004e-08,-4.8537633293491754e-08
6.159168805612927e-08,-4.3738839232686784e-08
6.932952093871778e-08,-3.8250309523765904e-08
7.597499696619996e-08,-3.215839560391773e-08
8.142323342949856e-08,-2.555897428738548e-08
8.558817027624182e-08,-1.8555948061913166e-08
8.840393599337025e-08,-1.1259617438879264e-08
8.982589823871681e-08,-3.784950337765125e-09
8.983138191288418e-08,3.750224761505539e-09
8.842004245650907e-08,1.1227073798108869e-08
8.561388750017877e-08,1.8527631193131688e-08
8.14569455066747e-08,2.5536663443543655e-08
7.601458564302473e-08,3.214349265742347e-08
6.937249871319188e-08,3.824375088167485e-08
6.163535447669271e-08,4.3741036998774234e-08
5.2925155978687396e-08,4.854844937421589e-08
4.337931652644196e-08,5.258996930778299e-08
3.314848957281792e-08,5.580167265535789e-08
2.239418592000352e-08,5.813274970996838e-08
1.1286216254999623e-08,5.95463165174362e-08
-9.168999651689941e-22,6.002000420072012e-08
-1.1286216255000649e-08,5.954631651743627e-08
-2.2394185920005542e-08,5.813274970996823e-08
-3.3148489572819895e-08,5.580167265535818e-08
-4.337931652644299e-08,5.258996930778274e-08
-5.292515597868845e-08,4.854844937421543e-08
-6.163535447669128e-08,4.3741036998774386e-08
-6.937249871319037e-08,3.824375088167506e-08
-7.601458564302452e-08,3.21434926574243e-08
-8.145694550667432e-08,2.553666344354428e-08
-8.561388750017774e-08,1.8527631193132773e-08
-8.842004245650956e-08,1.1227073798107325e-08
-8.983138191288616e-08,3.750224761504056e-09
-8.98258982387165e-08,-3.784950337764787e-09
-8.840393599336926e-08,-1.1259617438879767e-08
-8.55881702762392e-08,-1.8555948061909335e-08
-8.142323342949756e-08,-2.555897428738429e-08
-7.597499696620227e-08,-3.2158395603919714e-08
-6.932952093871792e-08,-3.825030952376615e-08
-6.159168805612851e-08,-4.3738839232687584e-08
-5.288354463385279e-08,-4.853763329349007e-08
-4.334237485129295e-08,-5.257121452639986e-08
-3.3118538748856705e-08,-5.5776157605131187e-08
-2.237310786785582e-08,-5.810207759535051e-08
-1.1275335386381443e-08,-5.9512414580291535e-08
