Br,Btheta
-2.117582368135751e-22,-1.3174163107503005e-08
1.887331229659249e-09,-1.307029193822045e-08
3.744904094411874e-09,-1.2760315839910023e-08
5.543429155225883e-09,-1.2249121263286492e-08
7.254547454378188e-09,-1.154476677011689e-08
8.851277444496087e-09,-1.06583561554023e-08
1.0308440262819196e-08,-9.603863609012284e-09
1.1603056659119548e-08,-8.397913655938971e-09
1.2714709327399412e-08,-7.0595193248586905e-09
1.3625864930666794e-08,-5.609782651646873e-09
1.4322150737839188e-08,-4.071562218642357e-09
1.4792581501170397e-08,-2.4691129517968217e-09
1.5029732982270304e-08,-8.277038380104739e-10
1.502985937153426e-08,8.267804226803258e-10
1.4792952727657032e-08,2.468247557346176e-09
1.432274347657889e-08,4.07080922045812e-09
1.3626641938494413e-08,5.609189363141878e-09
1.2715621782849402e-08,7.059123024672074e-09
1.1604047229900664e-08,8.397739245534158e-09
1.0309446708016277e-08,9.603922047908911e-09
8.852236525362651e-09,1.06586437723953e-08
7.255398907854222e-09,1.1545265493759168e-08
5.544119480611718e-09,1.2249799757248303e-08
3.745389915212271e-09,1.2761131471878643e-08
1.8875820192690748e-09,1.307119345864079e-08
-3.809529545957972e-21,1.3175093869894264e-08
-1.8875820192720973e-09,1.3071193458643312e-08
-3.745389915212959e-09,1.276113147187825e-08
-5.5441194806126086e-09,1.2249799757253216e-08
-7.25539890785411e-09,1.1545265493756625e-08
-8.85223652536453e-09,1.065864377239157e-08
-1.0309446708013645e-08,9.603922047909806e-09
-1.1604047229900888e-08,8.39773924553368e-09
-1.2715621782851813e-08,7.059123024675821e-09
-1.3626641938494784e-08,5.609189363143373e-09
-1.4322743476579337e-08,4.070809220453994e-09
-1.4792952727659385e-08,2.4682475573439995e-09
-1.5029859371539486e-08,8.267804226773927e-10
-1.502973298227429e-08,-8.277038380086963e-10
-1.4792581501172915e-08,-2.469112951795601e-09
-1.4322150737836979e-08,-4.0715622186391836e-09
-1.3625864930667687e-08,-5.60978265164606e-09
-1.271470932740175e-08,-7.0595193248643244e-09
-1.1603056659115951e-08,-8.39791365594102e-09
-1.030844026281568e-08,-9.603863609012825e-09
-8.851277444497175e-09,-1.0658356155399645e-08
-7.254547454381249e-09,-1.1544766770112211e-08
-5.543429155227598e-09,-1.224912126328768e-08
-3.744904094411303e-09,-1.2760315839916245e-08
-1.8873312296627984e-09,-1.3070291938221415e-08
-8.512700812710423e-22,-1.3174163107503005e-08
1.887331229659236e-09,-1.307029193822066e-08
3.744904094411584e-09,-1.2760315839910627e-08
5.543429155225842e-09,-1.2249121263286699e-08
7.254547454377926e-09,-1.1544766770117482e-08
8.851277444495354e-09,-1.065835615540318e-08
1.030844026281898e-08,-9.603863609013115e-09
1.1603056659118947e-08,-8.397913655939625e-09
1.2714709327398353e-08,-7.059519324859076e-09
1.362586493066703e-08,-5.60978265164828e-09
1.4322150737838855e-08,-4.071562218642907e-09
1.4792581501170184e-08,-2.469112951797748e-09
1.502973298226992e-08,-8.277038380101116e-10
1.5029859371534496e-08,8.26780422678221e-10
1.4792952727658114e-08,2.468247557344868e-09
1.4322743476579894e-08,4.0708092204572826e-09
1.3626641938493907e-08,5.6091893631408e-09
1.271562178284877e-08,7.059123024671246e-09
1.1604047229900635e-08,8.397739245532732e-09
1.030944670801595e-08,9.60392204790787e-09
8.852236525362328e-09,1.0658643772394752e-08
7.2553989078541825e-09,1.1545265493758059e-08
5.544119480612604e-09,1.2249799757247611e-08
3.7453899152125934e-09,1.2761131471877828e-08
1.887582019269149e-09,1.3071193458639625e-08
-2.5435190672433355e-21,1.3175093869893311e-08
-1.887582019271341e-09,1.3071193458641782e-08
-3.74538991521184e-09,1.2761131471876987e-08
-5.5441194806111395e-09,1.2249799757251861e-08
-7.255398907852778e-09,1.1545265493755846e-08
-8.85223652536416e-09,1.0658643772390667e-08
-1.0309446708013086e-08,9.603922047908337e-09
-1.1604047229900259e-08,8.397739245533032e-09
-1.271562178285183e-08,7.059123024675352e-09
-1.3626641938494579e-08,5.609189363142113e-09
-1.4322743476579037e-08,4.0708092204540524e-09
-1.4792952727658298e-08,2.468247557343655e-09
-1.5029859371538725e-08,8.267804226769646e-10
-1.5029732982273857e-08,-8.277038380091555e-10
-1.4792581501171808e-08,-2.4691129517966095e-09
-1.4322150737836609e-08,-4.071562218639687e-09
-1.3625864930666754e-08,-5.60978265164634e-09
-1.2714709327401327e-08,-7.059519324864214e-09
-1.1603056659116055e-08,-8.397913655941297e-09
-1.0308440262814931e-08,-9.603863609012416e-09
-8.851277444495839e-09,-1.0658356155399652e-08
-7.254547454380949e-09,-1.1544766770111693e-08
-5.5434291552269525e-09,-1.2249121263287666e-08
-3.744904094411347e-09,-1.276031583991593e-08
-1.88733122966281e-09,-1.3070291938221203e-08
