Br,Btheta
2.168404344971009e-19,7.755571009885535e-05
-1.1343407282642282e-05,7.692381189114249e-05
-2.251416238909797e-05,7.503462442759386e-05
-3.333786033002169e-05,7.190845300686992e-05
-4.363747700926665e-05,6.758158951196058e-05
-5.323412585786611e-05,6.210944205108012e-05
-6.19498962916895e-05,5.5569914976291005e-05
-6.961287005186879e-05,4.806623063122329e-05
-7.606401855903782e-05,3.97283960858598e-05
-8.116532163314243e-05,3.071266053203165e-05
-8.480817163902322e-05,2.1198563105100234e-05
-8.692098141803358e-05,1.138350093185745e-05
-8.747492458431057e-05,1.4751057312815705e-06
-8.648690567032203e-05,-8.317947950020142e-06
-8.401916492079314e-05,-1.7795818305089717e-05
-8.017532777236568e-05,-2.6777022465284158e-05
-7.509315724175509e-05,-3.510656843785034e-05
-6.893469684244719e-05,-4.2661778057661814e-05
-6.187484238549197e-05,-4.9355143528605746e-05
-5.408960339764469e-05,-5.513391203856173e-05
-4.574537626119658e-05,-5.997649356791843e-05
-3.699044048416961e-05,-6.38861833378989e-05
-2.7949618889130685e-05,-6.688302932416316e-05
-1.872264581197857e-05,-6.899491102235696e-05
-9.386315757444966e-06,-7.024899572386994e-05
-2.1797680935569685e-18,-7.066468834479058e-05
9.386315757441867e-06,-7.024899572387072e-05
1.8722645811977038e-05,-6.899491102235861e-05
2.7949618889127375e-05,-6.688302932416188e-05
3.699044048416993e-05,-6.388618333789766e-05
4.574537626119186e-05,-5.997649356792032e-05
5.408960339764391e-05,-5.51339120385619e-05
6.187484238548813e-05,-4.935514352860778e-05
6.893469684244368e-05,-4.266177805766165e-05
7.50931572417505e-05,-3.5106568437850534e-05
8.017532777236225e-05,-2.6777022465286756e-05
8.401916492079239e-05,-1.7795818305089103e-05
8.648690567031786e-05,-8.317947950021895e-06
8.747492458431084e-05,1.4751057312806201e-06
8.692098141803098e-05,1.1383500931855125e-05
8.480817163902173e-05,2.1198563105102653e-05
8.11653216331386e-05,3.071266053202999e-05
7.606401855903462e-05,3.972839608586063e-05
6.961287005186642e-05,4.806623063121892e-05
6.19498962916883e-05,5.5569914976292556e-05
5.32341258578634e-05,6.210944205107939e-05
4.3637477009267984e-05,6.758158951196105e-05
3.333786033002062e-05,7.190845300686684e-05
2.2514162389094957e-05,7.503462442759532e-05
1.1343407282638418e-05,7.692381189114201e-05
-1.818199874421013e-18,7.75557100988546e-05
-1.1343407282643927e-05,7.692381189114226e-05
-2.251416238910067e-05,7.503462442759321e-05
-3.3337860330023784e-05,7.190845300686866e-05
-4.363747700926848e-05,6.75815895119595e-05
-5.323412585786772e-05,6.210944205107884e-05
-6.194989629169126e-05,5.5569914976289406e-05
-6.96128700518695e-05,4.8066230631220864e-05
-7.606401855903977e-05,3.9728396085857794e-05
-8.116532163314347e-05,3.071266053203001e-05
-8.480817163902422e-05,2.1198563105097378e-05
-8.69209814180346e-05,1.1383500931855217e-05
-8.747492458431145e-05,1.4751057312790537e-06
-8.6486905670323e-05,-8.317947950022834e-06
-8.401916492079414e-05,-1.7795818305092922e-05
-8.017532777236608e-05,-2.6777022465287414e-05
-7.509315724175563e-05,-3.5106568437853854e-05
-6.893469684244762e-05,-4.2661778057665405e-05
-6.187484238549236e-05,-4.9355143528608755e-05
-5.4089603397645546e-05,-5.513391203856486e-05
-4.574537626119746e-05,-5.997649356792203e-05
-3.6990440484169034e-05,-6.38861833379021e-05
-2.79496188891309e-05,-6.688302932416663e-05
-1.872264581197883e-05,-6.899491102236036e-05
-9.386315757445403e-06,-7.024899572387344e-05
-1.2880617143234758e-18,-7.066468834479394e-05
9.386315757441864e-06,-7.024899572387387e-05
1.8722645811978335e-05,-6.899491102236228e-05
2.7949618889127114e-05,-6.68830293241655e-05
3.6990440484170694e-05,-6.388618333790076e-05
4.574537626119242e-05,-5.997649356792356e-05
5.4089603397644306e-05,-5.5133912038564404e-05
6.187484238548878e-05,-4.9355143528610476e-05
6.893469684244462e-05,-4.266177805766491e-05
7.509315724175145e-05,-3.510656843785267e-05
8.017532777236345e-05,-2.6777022465289582e-05
8.401916492079356e-05,-1.7795818305091787e-05
8.648690567031949e-05,-8.31794795002459e-06
8.747492458431191e-05,1.4751057312781862e-06
8.692098141803237e-05,1.1383500931852774e-05
8.480817163902392e-05,2.119856310510068e-05
8.116532163314022e-05,3.071266053202866e-05
7.606401855903656e-05,3.9728396085859366e-05
6.961287005186894e-05,4.8066230631218154e-05
6.194989629169033e-05,5.556991497629157e-05
5.323412585786532e-05,6.210944205107844e-05
4.363747700926938e-05,6.758158951196092e-05
3.333786033002229e-05,7.190845300686617e-05
2.2514162389097037e-05,7.503462442759459e-05
1.134340728264058e-05,7.692381189114205e-05
